1001 Bowmanville
1013 Grand Falls
1056 Oshawa East
1061 Mississauga Heartland
1083 Alliston
1126 Mississauga East
1162 Peterborough South
3001 Ajax
3002 Baie Comeau-Quebec
3054 Mississauga Meadowvale
3055 Mississauga Square One
3071 Peterborough
3082 Sarnia
3114 S Windsor Gateway
3115 E Windsor Gateway
3133 Cobourg
3160 Niagara Falls
3161 Oshawa North
3172 St Catharines W
3654 Mississauga Erin Mills
1211 Erin Mills Town Centre
3048 Lethbridge South
