a. SPA - Site Plan
b. SPA - PM
c. SPA - Design
d. Tender Preparation - PM
e. Tender Preparation - Site Plan
f. Tender Preparation - Design
g. Tender Preparation - Tender Docs
h. Site Servicing Permit - PM
i. Site Servicing Permit - Design
j. Tender Review / Contract Coordination
k. Contract Administration
l. Site Inspection
m. PTA #1 – Design
n. PTA #1 – CA Documents
