number,name,tasks
20495,Walmart TLE Projects,20495
20496,Skydev Chatham Riverview,Standard
20497,Timbercreek 11160 Yonge Street,20497
20498,Sobeys Toronto Port Lands (Spoke),Standard
20499,Sobeys Ottawa (Spoke) - Don Reid Drive ,Standard
20500,Fieldgate Properties - Kerns Road Burlington,Standard
20501,Lowe's Erin Mills,Lowes
20502,Governor's Bridge Lookout,Standard
20503,Sobeys - Yonge & Mapleview (FarmBoy),Standard
20504,Sobeys Vaughan (RSC),Standard
20505,Rona Aurora DFC ACC,Lowes
20506,Totem Edmonton DFC ACC,Standard
20507,Lowe's North Etobicoke DFC ACC,Lowes
20508,Rona Calgary Creekside DFC ACC,Lowes
20509,Lowe's Cornwall DFC ACC,Lowes
20510,Walmart Ajax Garden Centre (3001),Standard
20511,Walmart Bowmanville Garden Centre (1001),Standard
20512,Walmart Erin Mills Town Centre (1211),Standard
20513,Fieldgate - Brooklin ,Standard
20514,Walmart Port Elgin - Refresh,Standard
20515,Walmart Tillsonburg - Refresh,Standard
20516,Walmart Wallaceburg - Refresh,Standard
20517,Walmart Fergus - Refresh,Standard
20518,Walmart Amherstburg - Refresh,Standard
20519,BMO Winston Churchill,Standard
20520,Walmart Strathroy,Standard
20521,SkyDev Guelph (Hanlon Creek Business Park),Standard
20522,Walmart Winnipeg North (3118) Pavement Replacement,20522
20523,UDGA Glen Drive Coquitlam,Standard
20524,UDGA 3165 King George Boulevard,Standard
20525,UDGA Langley (200 St and 40th Ave),Standard
20526,85 Willow Road (Guelph),Standard
20527,SkyDev Tecumseh,Standard
20528,Sobeys Scarborough (Spoke) ,Standard
20529,670 Indian Road,Standard
20530,Sobeys - Bedford Halifax,Standard
20531,Walmart Parry Sound (1023) Refresh,Standard
20532,Walmart Huntsville (5743) Refresh,Standard
20533,Walmart Carleton Place (1075) Refresh,Standard
20534,Walmart Port Perry (1069) Refresh,Standard
20535,Walmart Mission (1119) Refresh,Standard
20536,Foodland Foxboro (Parliament),Standard
20537,Diamondback Whitby,Standard
20538,Walmart Sicamous - Truck Transfer,20538
20539,Walmart Edmonton (3027),20539
20540,UDGA 333 Brooksbank Avenue - CRU D,20540
20541,FreshCo Oshawa (1279 Simcoe),Standard
20542,Fieldgate London Retirement,Standard
20543,Leaside Spoke - Sobeys,Standard
20544,Walmart Red Deer (3194) Pavement Replacement,Standard
20545,Walmart Edson (1048) Pavement Replacement,Standard
20546,Chartwell Burlington,Standard
20547,Collingwood Peer Review ,Standard
20548,Walmart Wetaskiwin (3112) Pavement Replacement,Standard
20549,Walmart Vegreville (1071) Pavement Replacement,Standard
20550,Walmart Drumheller (1028) Pavement Replacement,Standard
20551,Walmart Windermere (1094) Pavement Replacement,Standard
20552,Sobeys Spoke Scarborough (41 Lamont),Standard
20553,Walmart Covid Entry Structures,WalCovid
