2019.01 - Screening
2019.03 - REC Site Planning and Planning
2019.04 - REC Engineering
2019.06 - Due Diligence
2021.02 - Permitting - Project Management
2023.01 - Permitting - 40% submission
2023.02 - Permitting - 90% submission
2023.03 - Permitting - 100% submission
2023.09 - permitting - Site Plan
2024 - Permitting - Offsite Plans
2026.01 - Contract Admin - Pre Construction Services
2026.02 - Contract Admin - Attend Pre-Bid Meeting
2026.03 - Contract Admin - Attend Pre-Construction Meeting
2026.04 - Contract Admin - Bi-weekly Site Visits
2026.05 - Contract Admin - Conduct Preliminary Site Works Review
2026.06 - Contract Admin - Conduct Final Site Works Review
2026.07 - Contract Admin - Review of Shop Drawings
2026.08 - Contract Admin - Review Site Works Change order Information
2026.09 - Contract Admin - Review of Site Works As-built Information
2026.10 - Contract Admin - Provide Civil Letter of General Conformance
2026.11 - Contract Admin - General Coordination
